gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
F,Jordan,Jordan,lowerlevel,G-05,A,English,F,Mum,21,10,28,20,No,Good,Above-7,L
M,Jordan,Jordan,MiddleSchool,G-07,A,IT,F,Father,39,40,11,33,No,Bad,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-07,A,IT,F,Father,22,30,10,12,Yes,Good,Above-7,L
M,Jordan,Jordan,MiddleSchool,G-07,A,Quran,F,Mum,50,90,29,60,Yes,Good,Under-7,M
F,Jordan,Jordan,lowerlevel,G-02,B,IT,F,Mum,70,88,55,40,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-02,C,IT,F,Father,80,42,20,50,Yes,Good,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-07,A,Quran,S,Father,60,55,30,40,No,Bad,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Mum,82,89,58,50,Yes,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Mum,72,80,58,66,No,Bad,Under-7,M
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,70,82,3,73,No,Bad,Under-7,H
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,55,72,83,14,Yes,Good,Above-7,M
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Father,50,62,73,43,Yes,Bad,Above-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Father,50,62,13,33,No,Bad,Above-7,L
M,lebanon,Jordan,MiddleSchool,G-08,A,Arabic,S,Mum,87,65,82,33,Yes,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-08,B,Arabic,S,Father,29,10,12,24,No,Bad,Above-7,L
M,Syria,Jordan,MiddleSchool,G-08,A,Spanish,S,Father,9,7,21,20,Yes,Good,Above-7,L
F,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Mum,32,80,58,46,Yes,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Father,52,10,13,6,No,Bad,Above-7,L
F,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Mum,70,64,42,32,No,Bad,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Mum,79,84,82,37,No,Bad,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Father,19,80,12,17,Yes,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Father,11,70,32,29,Yes,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Father,10,8,10,10,Yes,Bad,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Father,18,28,40,20,Yes,Bad,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Mum,90,84,52,30,No,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Mum,92,81,32,36,No,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Father,42,21,2,16,No,Bad,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Father,22,20,6,26,No,Bad,Under-7,H
M,Palestine,Jordan,MiddleSchool,G-06,A,English,F,Mum,72,21,22,26,Yes,Good,Under-7,H
M,Palestine,Jordan,MiddleSchool,G-06,A,English,S,Mum,92,31,42,27,Yes,Good,Under-7,H
M,Palestine,Jordan,MiddleSchool,G-06,A,English,F,Mum,82,31,52,25,No,Good,Under-7,M
M,Palestine,Jordan,MiddleSchool,G-06,A,English,S,Mum,72,41,46,27,No,Good,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Mum,95,94,72,80,No,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Mum,97,87,82,86,No,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Father,40,38,32,36,No,Bad,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Father,41,39,35,39,Yes,Bad,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Mum,51,79,85,89,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Mum,81,79,91,85,Yes,Good,Under-7,H
M,Palestine,Jordan,MiddleSchool,G-06,A,English,F,Mum,71,70,65,69,Yes,Good,Under-7,M
M,Palestine,Jordan,MiddleSchool,G-06,A,English,S,Mum,75,71,76,80,Yes,Good,Under-7,M
F,Jordan,Jordan,lowerlevel,G-04,A,Science,F,Father,49,36,32,44,No,Bad,Above-7,L
F,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Father,42,24,12,24,No,Bad,Above-7,L
F,Jordan,Jordan,lowerlevel,G-04,A,Science,F,Mum,98,87,86,84,No,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Mum,72,74,82,89,No,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-04,A,Science,F,Father,18,17,26,34,No,Good,Above-7,M
M,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Father,32,14,32,29,No,Good,Above-7,M
M,Jordan,Jordan,lowerlevel,G-04,A,Science,F,Father,10,12,20,13,No,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Father,22,34,15,9,No,Bad,Above-7,L
F,Jordan,Jordan,lowerlevel,G-04,B,Science,F,Mum,11,20,21,23,No,Bad,Under-7,M
F,Jordan,Jordan,lowerlevel,G-04,B,Science,S,Mum,12,44,25,39,No,Bad,Under-7,M
F,Jordan,Jordan,lowerlevel,G-04,B,Science,F,Father,15,50,24,43,Yes,Bad,Under-7,M
F,Jordan,Jordan,lowerlevel,G-04,B,Science,S,Father,32,44,29,89,Yes,Bad,Under-7,M
M,Jordan,Jordan,lowerlevel,G-04,B,Science,F,Mum,65,59,74,83,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-04,B,Science,S,Mum,72,64,59,89,Yes,Good,Under-7,H
M,Palestine,Jordan,lowerlevel,G-04,B,Science,F,Mum,95,57,74,89,Yes,Good,Above-7,M
M,Palestine,Jordan,lowerlevel,G-04,B,Science,S,Mum,82,84,79,79,Yes,Good,Above-7,M
M,Jordan,Jordan,lowerlevel,G-04,B,Science,F,Father,25,29,34,33,No,Good,Above-7,M
M,Jordan,Jordan,lowerlevel,G-04,B,Science,S,Father,42,34,29,39,No,Good,Above-7,M
F,Jordan,Jordan,lowerlevel,G-04,B,Science,F,Mum,55,79,44,43,Yes,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-04,B,Science,S,Mum,62,64,69,49,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-02,A,French,F,Mum,60,92,83,23,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-02,A,French,S,Mum,50,90,83,13,Yes,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-02,A,French,F,Mum,60,97,13,3,Yes,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-02,A,French,S,Mum,50,95,23,10,Yes,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-02,A,French,F,Mum,60,87,23,11,Yes,Good,Above-7,M
F,Jordan,Jordan,lowerlevel,G-02,A,French,S,Mum,50,80,20,15,Yes,Good,Above-7,M
M,Jordan,Jordan,lowerlevel,G-02,A,French,F,Father,10,15,10,21,No,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,A,French,S,Father,30,10,20,5,No,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,A,French,F,Father,10,15,10,21,No,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,A,French,S,Father,30,10,20,5,No,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,A,French,F,Father,40,7,50,41,No,Good,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,A,French,S,Father,35,2,29,33,No,Good,Above-7,L
F,Jordan,Jordan,lowerlevel,G-02,A,French,F,Mum,10,90,30,21,No,Good,Under-7,M
F,Jordan,Jordan,lowerlevel,G-02,A,French,S,Mum,25,80,29,23,No,Good,Under-7,M
F,Palestine,Jordan,lowerlevel,G-02,A,French,F,Mum,70,90,20,21,No,Good,Under-7,M
F,Palestine,Jordan,lowerlevel,G-02,A,French,S,Mum,75,80,15,20,No,Good,Under-7,M
F,Palestine,Jordan,lowerlevel,G-02,B,French,F,Father,78,98,10,11,No,Good,Under-7,M
F,Palestine,Jordan,lowerlevel,G-02,B,French,S,Father,79,89,11,14,No,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,40,87,50,41,No,Bad,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,35,92,29,33,No,Bad,Under-7,M
F,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,14,97,15,14,No,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,13,82,20,30,No,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,24,97,15,14,No,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,23,82,20,30,No,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,10,94,40,11,Yes,Good,Under-7,M
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,25,89,21,13,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,30,98,42,21,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,35,97,41,23,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-02,B,French,F,Father,32,88,32,25,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Father,25,87,21,27,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,F,Father,20,88,31,28,Yes,Good,Above-7,M
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Father,10,98,41,38,Yes,Good,Above-7,M
M,Palestine,Jordan,lowerlevel,G-02,A,Arabic,F,Father,90,98,41,38,Yes,Good,Under-7,H
M,Palestine,Jordan,lowerlevel,G-02,A,Arabic,S,Father,80,88,51,39,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,F,Father,10,18,71,38,Yes,Good,Above-7,M
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Father,10,58,51,48,Yes,Good,Above-7,M
F,Palestine,Jordan,lowerlevel,G-02,A,Arabic,F,Mum,98,88,60,31,No,Good,Under-7,H
F,Palestine,Jordan,lowerlevel,G-02,A,Arabic,S,Mum,75,81,51,34,No,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,F,Father,10,17,50,21,No,Bad,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Father,35,2,29,23,No,Bad,Under-7,M
F,Jordan,Jordan,lowerlevel,G-02,A,Arabic,F,Father,10,20,22,97,No,Bad,Above-7,L
F,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Father,5,9,19,98,No,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Father,10,10,40,51,No,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Father,35,2,29,23,No,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Mum,20,90,50,61,Yes,Bad,Above-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Mum,32,82,59,63,Yes,Bad,Above-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Father,10,30,50,91,Yes,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Father,12,22,59,83,Yes,Bad,Above-7,L
F,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Father,11,20,20,98,No,Bad,Above-7,L
F,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Father,10,12,29,93,No,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Mum,15,90,21,97,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Mum,20,77,31,88,Yes,Good,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Mum,88,81,50,10,Yes,Good,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-07,A,Biology,S,Mum,90,88,54,12,Yes,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Father,80,80,46,61,Yes,Bad,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,S,Father,85,82,59,63,Yes,Bad,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Father,39,71,40,26,No,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,S,Father,35,80,34,22,No,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Father,76,81,80,86,No,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,S,Father,65,89,64,82,No,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Mum,2,9,10,1,No,Bad,Above-7,L
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,S,Mum,3,8,19,3,No,Bad,Above-7,L
M,Jordan,Jordan,MiddleSchool,G-07,B,Biology,F,Father,50,79,10,31,No,Bad,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-07,B,Biology,S,Father,53,88,9,33,No,Bad,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-07,B,Biology,F,Mum,70,89,12,21,No,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-07,B,Biology,S,Mum,59,90,19,43,No,Good,Under-7,H
M,Palestine,Jordan,MiddleSchool,G-07,B,Biology,F,Father,78,80,66,51,Yes,Good,Under-7,M
M,Palestine,Jordan,MiddleSchool,G-07,B,Biology,S,Father,79,72,79,83,Yes,Good,Under-7,M
M,Palestine,Jordan,MiddleSchool,G-07,B,Biology,F,Father,88,90,76,81,Yes,Good,Under-7,H
M,Palestine,Jordan,MiddleSchool,G-07,B,Biology,S,Father,99,96,89,84,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,82,89,22,31,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,84,92,29,43,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,70,69,46,45,Yes,Good,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,74,62,49,43,Yes,Good,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,90,79,76,79,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,84,77,79,68,Yes,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,80,80,62,11,Yes,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,81,82,69,13,Yes,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,85,87,72,10,Yes,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,79,88,79,20,Yes,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,80,81,71,30,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,70,83,70,23,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,80,82,76,19,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,70,82,75,29,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,89,87,86,15,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,90,86,85,10,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,History,F,Mum,69,77,76,75,Yes,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,History,S,Mum,70,76,65,70,Yes,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,75,72,64,39,Yes,Good,Above-7,L
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,72,76,66,40,Yes,Good,Above-7,L
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,77,82,74,79,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,71,84,67,80,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,History,F,Mum,87,92,74,89,Yes,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-08,A,History,S,Mum,81,84,77,85,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Father,15,97,22,10,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Father,19,98,20,2,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Father,25,82,52,20,Yes,Good,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Father,29,78,40,12,Yes,Good,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-08,A,History,F,Father,45,87,57,80,Yes,Good,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-08,A,History,S,Father,39,88,43,72,Yes,Good,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Father,85,90,52,30,Yes,Good,Under-7,H
