gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,70,69,46,45,Yes,Good,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,74,62,49,43,Yes,Good,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,90,79,76,79,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,84,77,79,68,Yes,Good,Under-7,H
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,Geology,F,Father,85,89,22,61,No,Bad,Under-7,H
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,Geology,S,Father,80,89,23,68,No,Bad,Under-7,H
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,Geology,F,Father,95,87,62,81,No,Bad,Under-7,M
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,Geology,S,Father,87,79,73,98,No,Bad,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,80,81,71,30,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,70,83,70,23,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,89,87,86,15,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,90,86,85,10,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,77,82,74,79,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,71,84,67,80,Yes,Good,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Father,25,82,52,20,Yes,Good,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Father,29,78,40,12,Yes,Good,Above-7,M
M,Iraq,Iraq,MiddleSchool,G-08,A,Geology,F,Father,80,83,82,71,Yes,Good,Above-7,M
M,Iraq,Iraq,MiddleSchool,G-08,A,Geology,S,Father,71,81,83,72,Yes,Good,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,80,82,64,58,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,87,93,63,60,Yes,Good,Under-7,H
M,Palestine,Palestine,MiddleSchool,G-08,A,Geology,F,Father,80,87,74,68,Yes,Good,Under-7,M
M,Palestine,Palestine,MiddleSchool,G-08,A,Geology,S,Father,85,88,79,70,Yes,Good,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Father,50,77,14,28,No,Bad,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Father,55,74,25,29,No,Bad,Under-7,M
